"Common Name","Scientific Name","Number of Records"
"big chickweed","Cerastium fontanum ssp. vulgare","108"
"water speedwell","Veronica anagallis-aquatica","108"
"white ramping fumitory","Fumaria capreolata","108"
"jimsonweed","Datura stramonium","105"
"curly dock","Rumex crispus ssp. crispus","104"
"large hop clover","Trifolium campestre","104"
"narrow-leaved iceplant","Conicosia pugioniformis","103"
"Pacific bentgrass","Agrostis avenacea","102"
"redtop","Agrostis gigantea","102"
"common mouse-ear chickweed","Cerastium fontanum","101"
"littleseed canarygrass","Phalaris minor","100"
"bluehead gilia","Gilia capitata","99"
"false strawberry","Potentilla indica","99"
"field brome","Bromus arvensis","99"
"wild radish","Raphanus raphanistrum","98"
"green foxtail","Setaria viridis","98"
"umbrella plant","Cyperus involucratus","97"
"poverty brome","Bromus sterilis","97"
"soft brome","Bromus hordeaceus ssp. hordeaceus","97"
"silverleaf nightshade","Solanum elaeagnifolium","96"
"thymeleaf speedwell","Veronica serpyllifolia","96"
"pale smartweed","Polygonum lapathifolium","95"
"cutleaf blackberry","Rubus laciniatus","94"
"Brazilian waterweed, Brazilian elodea","Egeria densa","94"
"belladonna lily","Amaryllis belladonna","94"
"corn speedwell","Veronica arvensis","93"
"hairy fleabane","Conyza bonariensis","92"
"ponderosa pine","Pinus ponderosa","92"
"common mallow","Malva neglecta","92"
"wild celery","Apium graveolens","92"
"balsam poplar","Populus balsamifera","91"
"large aspen tortrix","Choristoneura conflictana","91"
"bur chervil","Anthriscus caucalis","90"
"spring whitlowgrass","Draba verna","89"
"malfurada","Hypericum grandifolium","89"
"cutleaf burnweed","Senecio glomeratus","89"
"dotted smartweed","Persicaria punctata","89"
"thousand cankers disease","Geosmithia morbida","88"
"lawn burweed","Soliva sessilis","87"
"butterflybush","Buddleja davidii","87"
"spinyfruit buttercup","Ranunculus muricatus","87"
"narrowleaf cottonrose","Logfia gallica","85"
"California fan palm","Washingtonia filifera","84"
"clammy goosefoot","Dysphania pumilio","84"
"meadow fescue","Festuca pratensis","83"
"alfalfa","Medicago sativa","83"
"herb-robert","Geranium robertianum","83"
"lemon balm","Melissa officinalis","83"
"little-robin","Geranium purpureum","82"
"Jerusalem oak goosefoot","Dysphania botrys","82"
"stinkgrass","Eragrostis cilianensis","81"
"creeping buttercup","Ranunculus repens","81"
"tumble pigweed","Amaranthus albus","80"
"red fescue","Festuca rubra","79"
"clasping pepperweed","Lepidium perfoliatum","79"
"pampas grass","Cortaderia","78"
"Virginia pepperweed","Lepidium virginicum","78"
"wandering broadhead planarian","Bipalium adventitium","78"
"Jeffrey pine","Pinus jeffreyi","77"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","77"
"Spanish heath","Erica lusitanica","77"
"sulfur cinquefoil","Potentilla recta","77"
"wild buckwheat","Fallopia convolvulus","77"
"bald brome","Bromus racemosus","76"
"purple deadnettle","Lamium purpureum","75"
"hairy nightshade","Solanum physalifolium","75"
"Canada bluegrass","Poa compressa","74"
"common duckweed","Lemna minor","74"
"yellow nutsedge","Cyperus esculentus","74"
"annual honesty","Lunaria annua","73"
"Japanese honeysuckle","Lonicera japonica","72"
"sorghum (type unspecified)","Sorghum bicolor","72"
"Douglas-fir","Pseudotsuga menziesii","72"
"American black nightshade","Solanum americanum","71"
"Cretanweed","Hedypnois cretica","71"
"intermediate wheatgrass","Thinopyrum intermedium","71"
"biddy-biddy","Acaena novae-zelandiae","69"
"corn spurry","Spergula arvensis","69"
"knotroot foxtail","Setaria parviflora","69"
"cornflower","Centaurea cyanus","69"
"narrowleaf crimson clover","Trifolium angustifolium","69"
"spiny cocklebur","Xanthium spinosum","69"
"purple nutsedge","Cyperus rotundus","69"
"buckhorn plantain","Plantago coronopus","68"
"Russian thistle","Salsola kali","68"
"tall vervain","Verbena bonariensis","66"
"European common reed, Phragmites","Phragmites australis ssp. australis","66"
"common Russian thistle","Salsola australis","66"
"claspleaf twistedstalk","Streptopus amplexifolius","66"
"alsike clover","Trifolium hybridum","65"
"swordleaf rush","Juncus ensifolius","64"
"feverfew","Tanacetum parthenium","64"
"punagrass","Achnatherum brachychaetum","64"
"common borage","Borago officinalis","63"
"crimson woodsorrel","Oxalis incarnata","63"
"Wards weed","Carrichtera annua","63"
"black nightshade","Solanum nigrum","63"
"garden vetch","Vicia sativa ssp. nigra","63"
"yellow foxtail","Setaria pumila","63"
"smooth brome","Bromus inermis","62"
"redroot pigweed","Amaranthus retroflexus","62"
"bulbil bugle-lily","Watsonia meriana","62"
"common tansy","Tanacetum vulgare","62"
"common cattail","Typha latifolia","62"
"plumeless thistle","Carduus","62"
"junglerice","Echinochloa colona","61"
"colonial bentgrass","Agrostis capillaris","61"
"common wheat","Triticum aestivum","60"
"hairy beggarticks","Bidens pilosa","60"
"Mexican fireweed","Bassia scoparia","60"
"blue mustard","Chorispora tenella","60"
"tall wheatgrass","Thinopyrum ponticum","60"
"Italian arum","Arum italicum","59"
"white willow","Salix alba","59"
"Italian plumeless thistle","Carduus pycnocephalus ssp. pycnocephalus","59"
"whorled pennywort","Hydrocotyle verticillata","58"
"French tamarisk","Tamarix gallica","57"
"field marigold","Calendula arvensis","57"
"Japanese brome","Bromus japonicus","56"
"waxy mannagrass","Glyceria declinata","56"
"wandflower","Sparaxis tricolor","56"
"pinkhead smartweed","Persicaria capitata","56"
"willowleaf lettuce","Lactuca saligna","56"
"Darwin's berberis","Berberis darwinii","55"
"tall oatgrass","Arrhenatherum elatius","55"
"velvetleaf","Abutilon theophrasti","54"
"Port Orford cedar","Chamaecyparis lawsoniana","54"
"lesser swinecress","Coronopus didymus","54"
"silversheath knotweed","Polygonum argyrocoleon","54"
"barley","Hordeum vulgare","53"
"common cordgrass","Spartina anglica","53"
"bush honeysuckles (exotic)","Lonicera spp.","53"
"canarygrass","Phalaris canariensis","52"
"eclipta","Eclipta prostrata","52"
"rye brome","Bromus secalinus","52"
"cereal rye","Secale cereale","51"
"purplestamen mullein","Verbascum virgatum","51"
"bloodflower milkweed","Asclepias curassavica","51"
"Mediterranean needlegrass","Stipa capensis","51"
"fivestamen tamarisk","Tamarix chinensis","50"
"subterranean clover","Trifolium subterraneum","50"
"golden wattle","Acacia pycnantha","50"
"bristlegrass","Setaria spp.","50"
"sweetbriar","Rosa rubiginosa","50"
"crested wheatgrass","Agropyron cristatum","49"
"spotted burclover","Medicago arabica","49"
"Mediterranean barley","Hordeum marinum ssp. gussoneanum","49"
"peppermint","Mentha x piperita","49"
"woodland groundsel","Senecio sylvaticus","49"
"waterpurslane","Ludwigia palustris","49"
"oval-leaf knotweed","Polygonum aviculare ssp. depressum","48"
"longflowered veldtgrass","Ehrharta longiflora","48"
"salad burnet","Sanguisorba minor","47"
"meadow foxtail","Alopecurus pratensis","46"
"biennial wormwood","Artemisia biennis","46"
"longspine sandbur","Cenchrus longispinus","46"
"sharppoint fluvellin","Kickxia elatine","46"
"spreading pellitory","Parietaria judaica","46"
"water knotweed","Polygonum amphibium","46"
"prostrate pigweed","Amaranthus blitoides","45"
"Sydney golden wattle","Acacia longifolia","45"
"reddish tufted vetch","Vicia benghalensis","45"
"asparagus","Asparagus officinalis","45"
"hemp dogbane","Apocynum cannabinum","44"
"smallflower umbrella sedge","Cyperus difformis","44"
"feathertop","Pennisetum villosum","44"
"Red gum lerp","Glycaspis brimblecombei","44"
"wall bedstraw","Galium parisiense","44"
"lesser swinecress","Lepidium didymum","44"
"smooth hawksbeard","Crepis capillaris","44"
"Chilean jessamine","Cestrum parqui","44"
"pineywoods dropseed","Sporobolus junceus","43"
"shortfruit stork's bill","Erodium brachycarpum","43"
"fall panicum","Panicum dichotomiflorum","43"
"American bullfrog","Lithobates catesbeianus","43"
"bull mallow","Malva nicaeensis","42"
"paradise apple","Malus pumila","42"
"cootamundra wattle","Acacia baileyana","42"
"blessed thistle","Cnicus benedictus","42"
"cutleaf burnweed","Erechtites glomeratus","42"
"tall morning-glory","Ipomoea purpurea","41"
"field horsetail","Equisetum arvense","41"
"wild garlic","Allium vineale","40"
"Chilean chess","Bromus berteroanus","40"
"white mulberry","Morus alba","40"
"clustered clover","Trifolium glomeratum","40"
"babysbreath","Gypsophila paniculata","39"
"field pennycress","Thlaspi arvense","39"
"leafy spurge","Euphorbia esula ssp. tommasiniana","39"
"rosemary","Rosmarinus officinalis","39"
"Kenilworth ivy","Cymbalaria muralis","39"
"floating primrose-willow","Ludwigia peploides ssp. montevidensis","39"
"Australian burnweed","Erechtites minimus","39"
"bristly foxtail","Setaria verticillata","38"
"shining geranium","Geranium lucidum","38"
"Chinese elm","Ulmus parvifolia","38"
"white-flowered spiderwort","Tradescantia fluminensis","38"
"common reed","Phragmites australis","38"
"ventenata","Ventenata dubia","38"
"ditch polypogon","Polypogon interruptus","38"
"thymeleaf sandwort","Arenaria serpyllifolia","38"
"common four-o'clock","Mirabilis jalapa","37"
"broomleaf toadflax","Linaria genistifolia","37"
"elmleaf blackberry","Rubus ulmifolius","37"
"cluster dock","Rumex conglomeratus","37"
"Darnel","Festuca temulenta","37"
"knotted hedgeparsley","Torilis nodosa","37"
"nipplewort","Lapsana communis","37"
"Mediterranean gecko","Hemidactylus turcicus","37"
"rock dandelion","Taraxacum erythrospermum","36"
"broomsedge bluestem","Andropogon virginicus","36"
"pit scale","Asterodiaspis minor","36"
"Spanish false fleabane","Pulicaria paludosa","36"
"common tarweed","Centromadia pungens ssp. pungens","36"
"giant horsetail","Equisetum telmateia","36"
"vaseygrass","Paspalum urvillei","36"
"roughstalk bluegrass","Poa trivialis","36"
"weeping lovegrass","Eragrostis curvula","35"
"peregrine saltbush","Atriplex suberecta","35"
"pomegranate","Punica granatum","35"
"kangaroothorn","Acacia paradoxa","35"
"Coulter pine","Pinus coulteri","35"
"North African knapweed","Centaurea diluta","35"
"green bristlegrass","Setaria viridis var. viridis","35"
"fiddleleaf dock","Rumex pulcher","35"
"cocklebur","Xanthium","35"
"buffalobur","Solanum rostratum","35"
"woodland strawberry","Fragaria vesca","35"
"purple cudweed","Gamochaeta purpurea","34"
"hood canarygrass","Phalaris paradoxa","34"
