"Common Name","Scientific Name","Number of Records"
"rose rosette disease (RRD)","Emaravirus RRD","2"
"tamarisk beetle","Diorhabda spp.","2"
"shinyleaf spiraea","Spiraea betulifolia var. lucida","2"
"yellow spiderflower","Peritoma lutea","2"
"Missouri goldenrod","Solidago missouriensis","2"
"noble yarrow","Achillea nobilis","2"
"northern catalpa","Catalpa speciosa","2"
"Norway spruce","Picea abies","2"
"panicle willowherb","Epilobium brachycarpum","2"
"parsley","Petroselinum crispum","2"
"periwinkle","Vinca","2"
"phlox","Phlox spp.","2"
"Louisiana wormwood","Artemisia ludoviciana","2"
"lupine","Lupinus","2"
"hyssop loosestrife","Lythrum hyssopifolia","2"
"great burdock","Arctium lappa","2"
"St. Johnswort midge","Zeuxidiplosis giardi","1"
"black hawthorn","Crataegus douglasii","1"
"willowherb","Epilobium spp.","1"
"golden currant","Ribes aureum","1"
"southern catalpa","Catalpa bignonioides","1"
"bearberry","Arctostaphylos uva-ursi","1"
"tarragon","Artemisia dracunculus","1"
