"Common Name","Scientific Name","Number of Records"
"bird vetch","Vicia cracca","10"
"Japanese knotweed","Reynoutria japonica","10"
"hairy galinsoga","Galinsoga quadriradiata","10"
"common yarrow","Achillea millefolium","9"
"moss vervain","Glandularia pulchella","9"
"fall panicum","Panicum dichotomiflorum","9"
"monkeygrass","Liriope muscari","9"
"bracted plantain","Plantago aristata","9"
"nutria","Myocastor coypus","9"
"radish","Raphanus sativus","9"
"burcucumber","Sicyos angulatus","9"
"weeping willow","Salix x sepulcralis","9"
"piedmont bedstraw","Cruciata pedemontana","9"
"broadleaf carpetgrass","Axonopus compressus","9"
"European privet","Ligustrum vulgare","9"
"european starling","Sturnus vulgaris","8"
"Japanese hop","Humulus japonicus","8"
"water lettuce","Pistia stratiotes","8"
"catnip","Nepeta cataria","8"
"field pennycress","Thlaspi arvense","8"
"smooth crotalaria","Crotalaria pallida","8"
"red spiderlily","Lycoris radiata","8"
"rock pigeon","Columba livia","8"
"canarygrass","Phalaris canariensis","8"
"spotted knapweed","Centaurea stoebe ssp. micranthos","8"
"St. Augustinegrass","Stenotaphrum secundatum","8"
"scarlet pimpernel","Anagallis arvensis","8"
"Chinese fir","Cunninghamia lanceolata","8"
"sudangrass","Sorghum bicolor ssp. drummondii","8"
"swamp dodder","Cuscuta gronovii","8"
"wild poinsettia","Euphorbia heterophylla","8"
"American black nightshade","Solanum americanum","8"
"pale yellow iris, yellow flag iris","Iris pseudacorus","8"
"red-eared slider","Trachemys scripta elegans","8"
"common wheat","Triticum aestivum","8"
"northern corn leaf blight","Exserohilum turcicum","8"
"giant ragweed","Ambrosia trifida","8"
"Southern corn leaf blight and stalk rot","Bipolaris maydis","8"
"pomegranate","Punica granatum","7"
"edible fig","Ficus carica","7"
"tall oatgrass","Arrhenatherum elatius","7"
"white-flowered spiderwort","Tradescantia fluminensis","7"
"rapeseed","Brassica napus","7"
"wild four-o'clock","Mirabilis nyctaginea","7"
"western salsify","Tragopogon dubius","7"
"Wisteria floribunda x sinensis hybrid","Wisteria x formosa","7"
"big chickweed","Cerastium fontanum ssp. vulgare","7"
"hemp/marijuana (sativa)","Cannabis sativa","7"
"wild oat","Avena fatua","7"
"cereal rye","Secale cereale","7"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","7"
"California poppy","Eschscholzia californica","7"
"wild buckwheat","Fallopia convolvulus","7"
"doubtful knight's-spur","Consolida ajacis","7"
"cutleaf groundcherry","Physalis angulata","7"
"common burdock, lesser burdock","Arctium minus","7"
"Thunberg lespedeza","Lespedeza thunbergii","7"
"redstem filaree","Erodium cicutarium","7"
"Carolina fanwort, fanwort","Cabomba caroliniana","7"
"apple-of-Peru","Nicandra physalodes","7"
"Amur honeysuckle","Lonicera maackii","7"
"bittersweets","Celastrus spp.","7"
"European waterstarwort","Callitriche stagnalis","6"
"cocklebur","Xanthium","6"
"American bullfrog","Lithobates catesbeianus","6"
"bridalwreath spiraea","Spiraea prunifolia","6"
"cypress spurge","Euphorbia cyparissias","6"
"Indian mustard","Brassica juncea","6"
"beach vitex","Vitex rotundifolia","6"
"garden cosmos","Cosmos bipinnatus","6"
"bigpod sesbania","Sesbania herbacea","6"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","6"
"black nightshade","Solanum nigrum","6"
"slender snakecotton","Froelichia gracilis","6"
"common mouse-ear chickweed","Cerastium fontanum","6"
"rabbitfoot polypogon","Polypogon monspeliensis","6"
"yellow toadflax","Linaria vulgaris","6"
"Japanese hedge-parsley, erect hedgeparsley","Torilis japonica","6"
"lilac chastetree","Vitex agnus-castus","6"
"garlic mustard","Alliaria petiolata","6"
"stinging nettle","Urtica dioica","6"
"sweetbriar","Rosa rubiginosa","6"
"sulphur cosmos","Cosmos sulphureus","6"
