"Common Name","Scientific Name","Number of Records"
"rock dandelion","Taraxacum erythrospermum","15"
"green bristlegrass","Setaria viridis var. viridis","15"
"slender snakecotton","Froelichia gracilis","15"
"silver hairgrass","Aira caryophyllea","15"
"osage-orange","Maclura pomifera","15"
"weeping willow","Salix babylonica","14"
"leatherleaf mahonia","Mahonia bealei","14"
"granulate ambrosia beetle","Xylosandrus crassiusculus","14"
"largeleaf lantana","Lantana camara","14"
"sparrow vetch","Vicia tetrasperma","14"
"coffee senna","Senna occidentalis","14"
"Chinese parasoltree","Firmiana simplex","14"
"southern crabgrass","Digitaria ciliaris","14"
"apple-of-Peru","Nicandra physalodes","13"
"St. Augustinegrass","Stenotaphrum secundatum","13"
"peppermint","Mentha x piperita","13"
"fennel","Foeniculum vulgare","13"
"basil downy mildew","Peronospora belbahrii","13"
"twoleaf watermilfoil","Myriophyllum heterophyllum","13"
"sweet breath of spring","Lonicera fragrantissima","13"
"edible fig","Ficus carica","13"
"Japanese spiraea","Spiraea japonica","13"
"giant ragweed","Ambrosia trifida","13"
"cheatgrass, downy brome","Bromus tectorum","13"
"Cuban treefrog","Osteopilus septentrionalis","12"
"fourleaf manyseed","Polycarpon tetraphyllum","12"
"smooth cordgrass","Spartina alterniflora","12"
"poison hemlock","Conium maculatum","12"
"stinkgrass","Eragrostis cilianensis","12"
"common dandelion","Taraxacum officinale ssp. officinale","12"
"swordfern","Macrothelypteris torresiana","12"
"saltmeadow cordgrass","Spartina patens","12"
"poison-sumac","Toxicodendron vernix","12"
"lionsear","Leonotis nepetifolia","12"
"hairy beggarticks","Bidens pilosa","12"
"Canada bluegrass","Poa compressa","12"
"eastern white pine","Pinus strobus","12"
"velvetleaf","Abutilon theophrasti","12"
"thymeleaf speedwell","Veronica serpyllifolia","12"
"dogwood anthracnose","Discula destructiva","12"
"common velvetgrass","Holcus lanatus","12"
"round leaf bittersweet","Celastrus orbiculatus","12"
"cypressvine morning-glory","Ipomoea quamoclit","12"
"pale smartweed","Polygonum lapathifolium","11"
"fruit-tree pinhole borer","Xyleborinus saxeseni","11"
"Russian thistle","Salsola kali","11"
"musk thistle, nodding thistle","Carduus nutans","11"
"peach","Prunus persica","10"
"non-native yams","Dioscorea spp. (non-native)","10"
"Indian mustard","Brassica juncea","10"
"California poppy","Eschscholzia californica","10"
"brown marmorated stink bug","Halyomorpha halys","10"
"rabbitfoot polypogon","Polypogon monspeliensis","10"
"broadleaf dock","Rumex obtusifolius","10"
"mollusc-eating hammerhead worm","Bipalium vagum","9"
"Japanese wisteria","Wisteria floribunda","9"
"chestnut blight or canker","Cryphonectria parasitica","9"
"rose of Sharon","Hibiscus syriacus","9"
"Japanese hop","Humulus japonicus","9"
"emerald ash borer","Agrilus planipennis","9"
"cutleaf geranium","Geranium dissectum","9"
"pale dock","Rumex altissimus","8"
"purplestamen mullein","Verbascum virgatum","8"
"multilined hammerhead worm","Diversibipalium multilineatum","8"
"torpedograss","Panicum repens","8"
"giant foxtail","Setaria faberi","8"
"corn chamomile","Anthemis arvensis","8"
"tall thistle","Cirsium altissimum","8"
"burcucumber","Sicyos angulatus","8"
"water primrose","Ludwigia grandiflora ssp. hexapetala","8"
"Paraguayan purslane","Portulaca amilis","7"
"Lindley's butterflybush","Buddleja lindleyana","7"
"field pennycress","Thlaspi arvense","7"
"monkeygrass","Liriope muscari","7"
"barley","Hordeum vulgare","7"
"turk's turbin","Clerodendrum indicum","7"
"bark beetles","Hypothenemus spp.","7"
"garden cosmos","Cosmos bipinnatus","7"
"yellow rocket","Barbarea vulgaris","7"
"Amur honeysuckle","Lonicera maackii","7"
"American bullfrog","Lithobates catesbeianus","7"
"American frogbit","Limnobium spongia","7"
"autumn olive","Elaeagnus umbellata var. parvifolia","7"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","6"
"canarygrass","Phalaris canariensis","6"
"water fern","Salvinia minima","6"
"coyote","Canis latrans","6"
