"Common Name","Scientific Name","Number of Records"
"red-footed tortoise","Geochelone carbonaria","46"
"river sheoak","Casuarina cunninghamiana","46"
"spotted waterhemlock","Cicuta maculata","45"
"jaraguagrass","Hyparrhenia rufa","45"
"miniature flatsedge","Cyperus prolifer","45"
"hemp sesbania","Sesbania exaltata","44"
"rainbow whiptail","Cnemidophorus lemniscatus","44"
"smallflower morningglory","Jacquemontia tamnifolia","44"
"Uruguayan vervain","Verbena montevidensis","43"
"nutmeg mannikin","Lonchura punctulata","43"
"asparagus fern","Asparagus densiflorus","43"
"Pestalotia fungi","Pestalotia spp.","43"
"Russian thistle","Salsola kali","42"
"vermiculated sailfin catfish","Pterygoplichthys disjunctivus","42"
"broadleaf plantain","Plantago major","42"
"Kummerowia","Kummerowia","42"
"bigroot morning-glory","Ipomoea pandurata","42"
"Cuban knight anole","Anolis equestris persparsus","42"
"mango","Mangifera indica","42"
"miramar weed","Hygrophila polysperma","41"
"mosquito","Culex territans","41"
"lesser swinecress","Coronopus didymus","41"
"green parakeet","Aratinga holochlora","41"
"common mullein","Verbascum thapsus","41"
"Cherokee rose","Rosa laevigata","41"
"gray leaf spot","Magnaporthe grisea","40"
"rattlebox","Crotalaria","40"
"hairy fleabane","Conyza bonariensis","40"
"Brazilian peppertree","Schinus terebinthifolia var. raddiana","40"
"crapemyrtle","Lagerstroemia indica","40"
"common four-o'clock","Mirabilis jalapa","40"
"sweet tanglehead","Heteropogon melanocarpus","39"
"Chinese violet","Asystasia gangetica","39"
"hedge bindweed","Calystegia sepium","39"
"horsenettle","Solanum carolinense","39"
"bigpod sesbania","Sesbania herbacea","39"
"fiveangled dodder","Cuscuta pentagona var. pentagona","39"
"lionsear","Leonotis nepetifolia","39"
"dusky giant ameiva","Ameiva praesignis","39"
"ivyleaf morning-glory","Ipomoea hederacea","39"
"field dodder","Cuscuta pentagona","39"
"black swan","Cygnus atratus","38"
"channeled apple snail","Pomacea canaliculata","38"
"loquat","Eriobotrya japonica","38"
"common vetch","Vicia sativa","38"
"Japanese stiltgrass","Microstegium vimineum","38"
"prostrate globe-amaranth","Gomphrena serrata","38"
"California burclover","Medicago polymorpha","38"
"tall lettuce","Lactuca canadensis","38"
"Indo-Pacific gecko","Hemidactylus garnotii","38"
"trifoliate orange","Citrus trifoliata","38"
"bamboo","Bambusa","37"
"flamevine","Pyrostegia venusta","37"
"giant brake","Pteris tripartita","37"
"blackeyed Susan vine","Thunbergia alata","37"
"governor's plum","Flacourtia indica","37"
"corn speedwell","Veronica arvensis","37"
"English ivy","Hedera helix","37"
"white mulberry","Morus alba","36"
"sessile joyweed","Alternanthera sessilis","36"
"moss vervain","Glandularia pulchella","35"
"bearded dragon","Pogona vitticeps","35"
"Fusarium damping-off","Fusarium solani","35"
"tropical signalgrass","Urochloa distachyos","35"
"basketplant","Callisia fragrans","35"
"ramgoat dashalong","Turnera ulmifolia","35"
"mulberryweed","Fatoua villosa","35"
"Fusarium root rot and wilt","Fusarium oxysporum","34"
"sericea lespedeza","Lespedeza cuneata","34"
"Indian mustard","Brassica juncea","34"
"melon","Cucumis melo","34"
"pale smartweed","Polygonum lapathifolium","34"
"Mexican spiny-tailed iguana","Ctenosaura pectinata","34"
"southern catalpa","Catalpa bignonioides","34"
"shrubby false buttonweed","Spermacoce verticillata","33"
"broadleaf carpetgrass","Axonopus compressus","33"
"weeping lantana","Lantana montevidensis","33"
"golden trumpet","Allamanda cathartica","33"
"Indiantree spurge","Euphorbia tirucalli","33"
