"Common Name","Scientific Name","Number of Records"
"water speedwell","Veronica anagallis-aquatica","23"
"spearmint","Mentha spicata","23"
"cressleaf groundsel","Packera glabella","23"
"mourningbride","Scabiosa atropurpurea","22"
"umbrella plant","Cyperus involucratus","22"
"water knotweed","Polygonum amphibium","22"
"velvetleaf","Abutilon theophrasti","22"
"Kummerowia","Kummerowia","22"
"roof rat","Rattus rattus","22"
"wild celery","Cyclospermum leptophyllum","22"
"Siberian elm","Ulmus pumila","22"
"big chickweed","Cerastium fontanum ssp. vulgare","22"
"hedge mustard","Sisymbrium officinale","21"
"noyau vine","Merremia dissecta","21"
"white poplar","Populus alba","21"
"plumeless thistle","Carduus","21"
"curly leaf pondweed","Potamogeton crispus","20"
"common pear","Pyrus communis","20"
"spiny cocklebur","Xanthium spinosum","20"
"laurel wilt","Raffaelea lauricola","20"
"bushy wallflower","Erysimum repandum","20"
"lesser swinecress","Coronopus didymus","20"
"bigroot morning-glory","Ipomoea pandurata","20"
"smallflower tamarisk","Tamarix parviflora","20"
"rose of Sharon","Hibiscus syriacus","19"
"corn poppy","Papaver rhoeas","19"
"flathead catfish","Pylodictis olivaris","19"
"woollyleaf bursage","Ambrosia grayi","19"
"ripgut brome","Bromus diandrus","18"
"Africanized honey bee","Apis mellifera ssp. scutellata","18"
"Jerusalem-cherry","Solanum pseudocapsicum","18"
"Southern corn rust","Puccinia polysora","18"
"cottony cushion scale","Icerya purchasi","18"
"peppermint","Mentha x piperita","17"
"sweet breath of spring","Lonicera fragrantissima","17"
"foxtail millet","Setaria italica","17"
"bushkiller","Cayratia japonica","17"
"miramar weed","Hygrophila polysperma","17"
"sour orange","Citrus x aurantium","17"
"southern catalpa","Catalpa bignonioides","17"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","17"
"common duckweed","Lemna minor","17"
"Honduras pine","Pinus elliottii var. elliottii","17"
"sulphur cosmos","Cosmos sulphureus","17"
"rosemary","Rosmarinus officinalis","17"
"catnip","Nepeta cataria","17"
"red morning-glory","Ipomoea coccinea","17"
"asparagus","Asparagus officinalis","17"
"Australian saltbush","Atriplex semibaccata","17"
"thorny olive","Elaeagnus pungens","17"
"hairy bittercress","Cardamine hirsuta","16"
"Athel tamarisk","Tamarix aphylla","16"
"rabbitfoot clover","Trifolium arvense","16"
"slender amaranth","Amaranthus viridis","16"
"elephant grass","Cenchrus purpureus","16"
"chicory","Cichorium intybus","16"
"hedge bindweed","Calystegia sepium","15"
"spinyfruit buttercup","Ranunculus muricatus","15"
"sweet autumn virginsbower","Clematis terniflora","15"
"woolly distaff thistle","Carthamus lanatus","15"
"creeping buttercup","Ranunculus repens","15"
"blue mustard","Chorispora tenella","15"
"sand rocket","Diplotaxis muralis","15"
"creeping bentgrass","Agrostis stolonifera","14"
"ripgut brome","Bromus diandrus var. rigidus","14"
"tropical soda apple","Solanum viarum","14"
"red brome","Bromus rubens","14"
"mat chaff-flower","Alternanthera caracasana","14"
"emerald ash borer","Agrilus planipennis","13"
"slenderflower thistle","Carduus tenuiflorus","13"
"Venice mallow","Hibiscus trionum","13"
"khakiweed","Alternanthera pungens","13"
"Korean lespedeza","Kummerowia stipulacea","13"
"squirreltail fescue","Vulpia bromoides","13"
"oxeye daisy","Leucanthemum vulgare","13"
"yellow glandweed","Parentucellia viscosa","12"
"willowleaf lettuce","Lactuca saligna","12"
"Asiatic dayflower","Commelina communis","12"
"limpograss","Hemarthria altissima","12"
"carpet bugle","Ajuga reptans","12"
"hollyhock","Alcea rosea","12"
"field pennycress","Thlaspi arvense","12"
"hare's ear","Bupleurum rotundifolium","12"
"gloria de la manana","Ipomoea carnea ssp. fistulosa","11"
"Cherokee rose","Rosa laevigata","11"
"wild celery","Apium graveolens","11"
"Himalayan blackberry","Rubus bifrons","11"
"hairy fleabane","Conyza bonariensis","11"
"common flax","Linum usitatissimum","11"
"water hyacinth","Eichhornia spp.","11"
"kudzu","Pueraria montana","11"
"narrowleaf dock","Rumex stenophyllus","11"
"lionsear","Leonotis nepetifolia","11"
"Australian-pine","Casuarina equisetifolia","11"
"smooth crabgrass","Digitaria ischaemum","11"
"tall vervain","Verbena bonariensis","11"
"periwinkle","Vinca","11"
"Wisconsin weeping willow","Salix x pendulina","11"
"paragrass","Urochloa mutica","10"
"swollen fingergrass","Chloris barbata","10"
"soft brome","Bromus hordeaceus","10"
"Virginia groundcherry","Physalis virginiana var. virginiana","10"
"cowcockle","Vaccaria hispanica","10"
"cypressvine morning-glory","Ipomoea quamoclit","10"
"silversheath knotweed","Polygonum argyrocoleon","10"
"mazapan","Malvaviscus penduliflorus","10"
"cutleaf nightshade","Solanum triflorum","10"
"branched broomrape","Phelipanche ramosa","10"
"Eurasian collared-dove","Streptopelia decaocto","10"
"American black nightshade","Solanum americanum","10"
"Canada bluegrass","Poa compressa","10"
"cutleaf vipergrass","Scorzonera laciniata","10"
"barley","Hordeum vulgare","10"
"tawny daylily","Hemerocallis fulva","9"
"American bugseed","Corispermum americanum var. rydbergii","9"
"curlycup gumweed","Grindelia squarrosa","9"
"Argentine ant","Linepithema humile","9"
"tungoil tree","Vernicia fordii","9"
"bristly locust","Robinia hispida","9"
"Chinese elm","Ulmus parvifolia","9"
"Asiatic bellflower","Wahlenbergia marginata","9"
"wild radish","Raphanus raphanistrum","9"
"large-flower primrose-willow","Ludwigia grandiflora ssp. grandiflora","9"
"camphor scale","Pseudaonidia duplex","9"
"common St. Johnswort","Hypericum perforatum","9"
"burcucumber","Sicyos angulatus","9"
"garden vetch","Vicia sativa ssp. nigra","9"
"paperflower","Bougainvillea glabra","9"
"common velvetgrass","Holcus lanatus","9"
"Lombardy poplar","Populus nigra","9"
"timothy","Phleum pratense","9"
"Jersey cudweed","Pseudognaphalium luteoalbum","9"
"red mangrove","Rhizophora mangle","9"
"smooth brome","Bromus inermis","9"
"tall thistle","Cirsium altissimum","8"
"downy maiden fern","Cyclosorus dentatus","8"
"radish","Raphanus sativus","8"
"sulfur cinquefoil","Potentilla recta","8"
"clammy goosefoot","Dysphania pumilio","8"
"purple loosestrife","Lythrum salicaria","8"
"house mouse","Mus musculus","8"
"hairy buttercup","Ranunculus sardous","8"
"hairy cat's ear","Hypochaeris radicata","8"
"Madagascar periwinkle","Catharanthus roseus","7"
"giant sumpweed","Cyclachaena xanthifolia","7"
"pampas grass","Cortaderia","7"
"Russian knapweed","Rhaponticum repens","7"
"Oriental lady's thumb","Persicaria longiseta","7"
"itchgrass","Rottboellia cochinchinensis","7"
"cogongrass","Imperata cylindrica","7"
"brown marmorated stink bug","Halyomorpha halys","7"
"ponderosa pine","Pinus ponderosa","7"
"bamboo","Bambusa","7"
"bouncingbet","Saponaria officinalis","7"
"black mustard","Brassica nigra","7"
"cereal rye","Secale cereale","7"
"yellow floating heart","Nymphoides peltata","7"
"showy rattlebox","Crotalaria spectabilis","7"
"smallflower galinsoga","Galinsoga parviflora","7"
"crested wheatgrass","Agropyron cristatum","7"
"formosa firethorn","Pyracantha koidzumii","7"
"coral ardisia","Ardisia crenata","6"
"Tatarian honeysuckle","Lonicera tatarica","6"
"southern green stink bug","Nezara viridula","6"
"fennel","Foeniculum vulgare","6"
"David's spurge","Euphorbia davidii","6"
"twoleaf watermilfoil","Myriophyllum heterophyllum","6"
"basil downy mildew","Peronospora belbahrii","6"
"Elaeagnus","Elaeagnus spp.","6"
"crimson fountaingrass","Cenchrus setaceus","6"
"sour paspalum","Paspalum conjugatum","6"
"house sparrow","Passer domesticus","6"
"purple pampasgrass","Cortaderia jubata","6"
"opium poppy","Papaver somniferum","6"
"camelthorn","Alhagi maurorum","6"
"Japanese brome","Bromus japonicus","6"
"limnophila","Limnophila sessiliflora","6"
"cattail","Typha spp.","6"
"hemp/marijuana (sativa)","Cannabis sativa","6"
"chandelier plant","Kalanchoe delagoensis","6"
"wild-proso millet","Panicum miliaceum","6"
"creeping beggarweed","Desmodium incanum","6"
"yellow toadflax","Linaria vulgaris","6"
"fivehook bassia","Bassia hyssopifolia","6"
"stinging nettle","Urtica dioica","6"
"Mascarene Island leaf-flower","Phyllanthus tenellus","5"
"pink hibiscus mealybug","Maconellicoccus hirsutus","5"
"Japanese dodder","Cuscuta japonica","5"
"spurred anoda","Anoda cristata","5"
"meadow fescue","Festuca pratensis","5"
"Dutch elm disease (novi-ulmi)","Ophiostoma novo-ulmi","5"
"rock pigeon","Columba livia","5"
"Oriental lady's thumb","Polygonum posumbu","5"
"crested floating heart","Nymphoides cristata","5"
"arrowleaf elephant's ear","Xanthosoma sagittifolium","5"
"rocketsalad","Eruca vesicaria ssp. sativa","5"
"European pepper moth","Duponchelia fovealis","5"
"Douglas-fir","Pseudotsuga menziesii","5"
"Cupid's-shaving-brush","Emilia fosbergii","5"
"Norway rat","Rattus norvegicus","5"
"denseflower cordgrass","Spartina densiflora","5"
"dog mustard","Erucastrum gallicum","5"
"California poppy","Eschscholzia californica","5"
"European elm flea weevil","Orchestes alni","5"
"blackeyed Susan vine","Thunbergia alata","5"
"dotted bridalveil","Gibasis pellucida","5"
"devil's backbone","Kalanchoe daigremontiana","5"
"woman's tongue tree","Albizia lebbeck","5"
"swordfern","Macrothelypteris torresiana","5"
"Sullivan City flax","Linum lundellii","5"
"wild poinsettia","Euphorbia heterophylla","5"
"Asian cockroach","Blattella asahinai","4"
"twoleaf nightshade","Solanum diphyllum","4"
"African mustard","Brassica tournefortii","4"
"strawberry root weevil","Otiorhynchus ovatus","4"
"Barbados aloe","Aloe vera","4"
"swordleaf rush","Juncus ensifolius","4"
"duck-lettuce","Ottelia alismoides","4"
"garden cosmos","Cosmos bipinnatus","4"
"blue morning-glory","Ipomoea indica","4"
"spider brake","Pteris multifida","4"
"holly","Ilex spp.","4"
"flamegold","Koelreuteria elegans ssp. formosana","4"
"California privet","Ligustrum ovalifolium","4"
"skunk-vine","Paederia foetida","4"
"Job's tears","Coix lacryma-jobi","4"
"common viper's bugloss, blueweed","Echium vulgare","4"
"California red scale","Aonidiella aurantii","4"
"fire ant decapitating flies","Pseudacteon nocens","4"
"spiny plumeless thistle","Carduus acanthoides","4"
