"Common Name","Scientific Name","Number of Records"
"hydrilla","Hydrilla verticillata","46"
"Dutch elm disease (novi-ulmi)","Ophiostoma novo-ulmi","46"
"hairy willowherb","Epilobium hirsutum","45"
"coyote","Canis latrans","45"
"creeping bellflower","Campanula rapunculoides","45"
"bird vetch","Vicia cracca","45"
"little starwort","Stellaria graminea","44"
"Chinese silvergrass","Miscanthus sinensis","44"
"hoary alyssum","Berteroa incana","44"
"field sowthistle","Sonchus arvensis ssp. arvensis","44"
"wine raspberry","Rubus phoenicolasius","44"
"stinkgrass","Eragrostis cilianensis","44"
"perilla mint","Perilla frutescens","43"
"sour cherry","Prunus cerasus","43"
"squash vine borer","Melittia cucurbitae","43"
"hairy cat's ear","Hypochaeris radicata","43"
"tall fescue","Festuca arundinacea","42"
"Lombardy poplar","Populus nigra","42"
"halberdleaf orach","Atriplex patula","42"
"eastern white pine","Pinus strobus","42"
"tall thistle","Cirsium altissimum","41"
"common vetch","Vicia sativa","41"
"ivyleaf morning-glory","Ipomoea hederacea","40"
"nightflowering catchfly","Silene noctiflora","40"
"pitted morning-glory","Ipomoea lacunosa","40"
"kingdevil hawkweed","Hieracium piloselloides","40"
"garlic mustard aphid","Lipaphis alliariae","40"
"small hop clover","Trifolium dubium","39"
"flowering rush","Butomus umbellatus","38"
"redstem filaree","Erodium cicutarium","38"
"Japanese hop","Humulus japonicus","38"
"wild garlic","Allium vineale","38"
"petty spurge","Euphorbia peplus","37"
"woodland strawberry","Fragaria vesca","37"
"red fox","Vulpes vulpes","37"
"goutweed","Aegopodium podagraria","36"
"hemp/marijuana (sativa)","Cannabis sativa","36"
"yellow bedstraw","Galium verum","36"
"bristly locust","Robinia hispida","36"
"rye brome","Bromus secalinus","35"
"green stink bug","Chinavia hilaris","35"
"willowleaf lettuce","Lactuca saligna","35"
"zebra mussel","Dreissena polymorpha","35"
"hollyhock","Alcea rosea","35"
"Japanese clover","Kummerowia striata","34"
"brown knapweed","Centaurea jacea","34"
"spotted deadnettle","Lamium maculatum","34"
"thoroughwort pennycress","Microthlaspi perfoliatum","34"
"white sweetclover","Melilotus albus","33"
"bermudagrass","Cynodon dactylon","33"
"northern white cedar","Thuja occidentalis","33"
"Elaeagnus","Elaeagnus spp.","33"
"peach","Prunus persica","32"
"buckwheat","Fagopyrum esculentum","32"
"spreading hedgeparsley","Torilis arvensis","32"
"rabbitfoot clover","Trifolium arvense","32"
"sticky chickweed","Cerastium glomeratum","32"
"ravennagrass","Saccharum ravennae","32"
"bulbous bluegrass","Poa bulbosa","31"
"prostrate pigweed","Amaranthus blitoides","31"
"Mahaleb cherry","Prunus mahaleb","31"
"true armyworm","Mythimna unipuncta","30"
"small carpetgrass, joint-head grass","Arthraxon hispidus","30"
"low cudweed","Gnaphalium uliginosum","30"
"poison-sumac","Toxicodendron vernix","30"
"bushy wallflower","Erysimum repandum","29"
"wallflower mustard","Erysimum cheiranthoides","29"
"doubtful knight's-spur","Consolida ajacis","29"
"southern catalpa","Catalpa bignonioides","29"
"catchweed bedstraw","Galium aparine","29"
"indigobush","Amorpha fruticosa","28"
"border privet","Ligustrum obtusifolium","28"
"hoary cress","Lepidium draba","28"
"common lilac","Syringa vulgaris","28"
"wild radish","Raphanus raphanistrum","28"
"European mountain-ash","Sorbus aucuparia","28"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","28"
"European sticktight","Lappula squarrosa","28"
"smallflower galinsoga","Galinsoga parviflora","28"
"sheep fescue","Festuca trachyphylla","27"
"Korean lespedeza","Kummerowia stipulacea","27"
"european starling","Sturnus vulgaris","26"
"Chinese mystery snail","Cipangopaludina chinensis","26"
"lily of the valley","Convallaria majalis","26"
"cornflower","Centaurea cyanus","26"
"water foxtail","Alopecurus geniculatus","25"
"fiveangled dodder","Cuscuta pentagona var. pentagona","25"
"black knapweed","Centaurea nigra","25"
"field dodder","Cuscuta pentagona","25"
"Southern corn rust","Puccinia polysora","24"
"red fescue","Festuca rubra","24"
"Scotch thistle","Onopordum acanthium","23"
"common flax","Linum usitatissimum","23"
"rock dandelion","Taraxacum erythrospermum","23"
"annual wormwood","Artemisia annua","23"
