"Common Name","Scientific Name","Number of Records"
"knotweed species (nonnative)","Reynoutria spp.","8"
"lily leaf beetle","Lilioceris lilii","8"
"multiflora rose","Rosa multiflora","8"
"leafminer fly","Liriomyza spp.","8"
"bushy wallflower","Erysimum repandum","8"
"lesser swinecress","Coronopus didymus","8"
"garden catchfly","Silene armeria","7"
"clammy goosefoot","Dysphania pumilio","7"
"hawkweed oxtongue","Picris hieracioides","7"
"halberdleaf orach","Atriplex patula","7"
"Japanese beetle","Popillia japonica","7"
"common ragweed","Ambrosia artemisiifolia","7"
"narrowleaf hawksbeard","Crepis tectorum","7"
"European sticktight","Lappula squarrosa","7"
"leaf beetle","Chrysolina spp.","7"
"hairy bittercress","Cardamine hirsuta","7"
"bulbous buttercup","Ranunculus bulbosus","7"
"dovefoot geranium","Geranium molle","7"
"common barberry","Berberis vulgaris","7"
"field cottonrose","Logfia arvensis","7"
"boreal chickweed","Cerastium tomentosum","7"
"denseflower cordgrass","Spartina densiflora","7"
"Carolina fanwort, fanwort","Cabomba caroliniana","7"
"woodland bittercress","Cardamine flexuosa","7"
"purple crown-vetch","Securigera varia","7"
"corn poppy","Papaver rhoeas","7"
"motherwort","Leonurus cardiaca","7"
"slenderflower thistle","Carduus tenuiflorus","7"
"smooth hawkweed","Hieracium laevigatum","7"
"rainbow trout","Oncorhynchus mykiss","7"
"tall wheatgrass","Thinopyrum ponticum","7"
"thymeleaf speedwell","Veronica serpyllifolia ssp. serpyllifolia","7"
"white willow","Salix alba","7"
"changing forget-me-not","Myosotis discolor","6"
"stem-boring weevil","Mecinus janthinus","6"
"osage-orange","Maclura pomifera","6"
"western conifer-seed bug","Leptoglossus occidentalis","6"
"Dyer's woad","Isatis tinctoria","6"
"parsley","Petroselinum crispum","6"
"southern green stink bug","Nezara viridula","6"
"smooth bedstraw","Galium mollugo","6"
"oriental virginsbower","Clematis orientalis","6"
"whitetop","Cardaria spp.","6"
"wild garlic","Allium vineale","6"
"germander speedwell","Veronica chamaedrys","6"
"peach twig borer","Anarsia lineatella","6"
"common lilac","Syringa vulgaris","6"
"white mignonette","Reseda alba","6"
"orbicular whitetop, lens-podded hoary cress","Lepidium chalepense","6"
"hedge false bindweed","Calystegia sepium ssp. sepium","6"
"common flax","Linum usitatissimum","6"
"cotoneaster","Cotoneaster spp.","6"
"lily of the valley","Convallaria majalis","6"
"Italian arum","Arum italicum","6"
"cat (feral)","Felis catus (feral type)","6"
"common four-o'clock","Mirabilis jalapa","6"
"common pokeweed","Phytolacca americana","6"
"flea beetles","Aphthona spp.","6"
"annual wormwood","Artemisia annua","6"
"annual ragweed","Ambrosia artemisiifolia var. elatior","6"
"chickpea milkvetch, cicer milkvetch","Astragalus cicer","6"
"white sweetclover","Melilotus albus","6"
"bristly locust","Robinia hispida","6"
"freshwater golden clam","Corbicula fluminea","6"
"black stain root disease","Leptographium wageneri var. pseudotsugae","6"
"wine grape","Vitis vinifera","6"
"large-flower primrose-willow","Ludwigia grandiflora","6"
"Winter cutworm, large yellow underwing","Noctua pronuba","6"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","6"
"perennial false-brome","Brachypodium sylvaticum","5"
"European wand loosestrife","Lythrum virgatum","5"
"garden cress","Lepidium sativum","5"
"stripe rust","Puccinia striiformis f.sp. tritici","5"
"sulfur knapweed root moth","Agapeta zoegana","5"
"European elm flea weevil","Orchestes alni","5"
"European chafer","Amphimallon majale","5"
"Sycamore maple","Acer pseudoplatanus","5"
"smallmouth bass","Micropterus dolomieu","5"
"house sparrow","Passer domesticus","5"
"blackthorn","Prunus spinosa","5"
"sainfoin","Onobrychis viciifolia","5"
"doubtful knight's-spur","Consolida ajacis","5"
"black vine weevil","Otiorhynchus sulcatus","5"
"cranberry viburnum, European highbush cranberry","Viburnum opulus ssp. opulus","5"
"Venice mallow","Hibiscus trionum","5"
"yellow perch","Perca flavescens","5"
"cicadakillers","Sphecius spp.","5"
"sorghum (type unspecified)","Sorghum bicolor","5"
"flathead catfish","Pylodictis olivaris","5"
"rose rosette disease (RRD)","Emaravirus RRD","5"
"wandering broadhead planarian","Bipalium adventitium","5"
"halogeton, saltlover","Halogeton glomeratus","5"
"water-bent","Polypogon viridis","5"
"Lombardy poplar","Populus nigra","5"
"rough mannagrass","Glyceria maxima","5"
"Norway maple aphid","Periphyllus lyropictus","5"
"larch sawfly","Pristiphora erichsonii","5"
"European blackberry","Rubus vestitus","5"
"English violet","Viola odorata","5"
"broad-nosed knapweed seed head weevil","Bangasternus fausti","5"
"alfalfa","Medicago sativa ssp. sativa","5"
"ball mustard","Neslia paniculata","5"
"sheep fescue","Festuca trachyphylla","4"
"milkflower cotoneaster","Cotoneaster coriaceus","4"
"St. Johnswort Inchworm","Aplocera plagiata","4"
"fall dandelion","Scorzoneroides autumnalis","4"
"scarlet firethorn","Pyracantha coccinea","4"
